Применение,Наименование,Артикул для заказа
Пики для гидромолотов FURUKAWA Fx15,Пика FURUKAWA  FLAT ROD  № F1-25111,F1-25111
,Пика FURUKAWA  POINT､MOIL  № F1-25113,F1-25113
,Пика FURUKAWA  WEDGE POINT  № F1-25114,F1-25114
Пики для гидромолотов FURUKAWA Fx25,Пика FURUKAWA  FLAT ROD  № HB2G-25111,HB2G-25111
,Пика FURUKAWA  POINT､MOIL  № HB2G-25113,HB2G-25113
,Пика FURUKAWA  30ﾟ WEDGE POINT  № HB2G-25114,HB2G-25114
Пики для гидромолотов FURUKAWA Fx35,Пика FURUKAWA  FLAT ROD  № F3-25111,F3-25111
,Пика FURUKAWA  POINT､MOIL  № F3-25113,F3-25113
,Пика FURUKAWA  WEDGE POINT  № F3-25114,F3-25114
Пики для гидромолотов FURUKAWA Fx15,Пика FURUKAWA  FLAT ROD  № F4-25111,F4-25111
,Пика FURUKAWA  POINT､MOIL  № F4-25113,F4-25113
,Пика FURUKAWA  WEDGE POINT  № F4-25114,F4-25114
Пики для гидромолотов FURUKAWA Fx15,Пика FURUKAWA  FLAT ROD  № F5-25111,F5-25111
,Пика FURUKAWA  POINT､MOIL  № F5-25113,F5-25113
,Пика FURUKAWA  WEDGE POINT  № F5-25114,F5-25114
Пики для гидромолотов FURUKAWA Fx15,Пика FURUKAWA  FLAT ROD  № F6-25111,F6-25111
,Пика FURUKAWA  MOIL POINT  № F6-25113,F6-25113
,Пика FURUKAWA  WEDGE POINT  № F6-25114,F6-25114
Пики для гидромолотов FURUKAWA Fx15,Пика FURUKAWA  FLAT ROD  № F9-25111,F9-25111
,Пика FURUKAWA  MOIL POINT  № F9-25113,F9-25113
,Пика FURUKAWA  WEDGE POINT  № F9-25114,F9-25114
Пики для гидромолотов FURUKAWA Fx15,Пика FURUKAWA  ROD､FLAT  № 002204-250020,002204-250020
,Пика FURUKAWA  POINT､MOIL  № 002204-250010,002204-250010
,Пика FURUKAWA  POINT､WEDGE  № 002204-250030,002204-250030
Пики для гидромолотов FURUKAWA Fx15,Пика FURUKAWA  ROD､FLAT  № 002203-250020,002203-250020
,Пика FURUKAWA  POINT､MOIL  № 002203-250010,002203-250010
,Пика FURUKAWA  POINT､WEDGE  № 002203-250030,002203-250030
Пики для гидромолотов FURUKAWA Fx15,Пика FURUKAWA  FLAT POINT ROD  № 002411-250020,002411-250020
,Пика FURUKAWA  MOIL POINT ROD  № 002411-250010,002411-250010
,Пика FURUKAWA  WEDGE POINT ROD  № 002411-250030,002411-250030
Пики для гидромолотов FURUKAWA Fx15,Пика FURUKAWA  ROD､FLAT  № 002407-250020,002407-250020
,Пика FURUKAWA  POINT､MOIL  № 002407-250010,002407-250010
,Пика FURUKAWA  POINT､WEDGE  № 002407-250030,002407-250030
Пики для гидромолотов FURUKAWA Fx15,Пика FURUKAWA  ROD､FLAT  № 002408-250020,002408-250020
,Пика FURUKAWA  POINT､MOIL  № 002408-250010,002408-250010
,Пика FURUKAWA  POINT､WEDGE  № 002408-250030,002408-250030
Пики для гидромолотов FURUKAWA Fx15,Пика FURUKAWA  ROD､FLAT  № 002409-250020,002409-250020
,Пика FURUKAWA  POINT､MOIL  № 002409-250010,002409-250010
,Пика FURUKAWA  POINT､WEDGE  № 002409-250030,002409-250030
Пики для гидромолотов FURUKAWA Fx15,Пика FURUKAWA  FLAT  ROD  № 002410-250020,002410-250020
,Пика FURUKAWA  MOIL POINT ROD  № 002410-250010,002410-250010
,Пика FURUKAWA  WEDGE POINT ROD  № 002410-250030,002410-250030
