"Диаметр, мм","Длина, мм","Толщина стенки, мм",Резьба,Артикул
76,3000,6.3,2 3/8”API REG,ATR-76-3000-6.3-2.3.8R
76,4000,6.3,2 3/8”API REG,ATR-76-4000-6.3-2.3.8R
76,5000,6.3,2 3/8”API REG,ATR-76-5000-6.3-2.3.8R
89,4000,8.8,2 3/8”API REG,ATR-89-4000-8.8-2.3.8R
89,5000,8.8,2 3/8”API REG,ATR-89-5000-8.8-2.3.8R
89,6000,8.8,2 3/8”API REG,ATR-89-6000-8.8-2.3.8R
102,4000,8.8,2 7/8”API REG,ATR-102-4000-8.8-2.7.8R
102,5000,8.8,2 7/8”API REG,ATR-102-5000-8.8-2.7.8R
102,6000,11,2 7/8”API REG,ATR-102-6000-11-2.7.8R
102,7620,13,2 7/8”API REG,ATR-102-7620-13-2.7.8R
102,8077,13,2 7/8”API REG,ATR-102-8077-13-2.7.8R
102,9144,13,2 7/8”API REG,ATR-102-9144-13-2.7.8R
114,5000,10,3 1/2” API REG,ATR-114-5000-10-3.1.2R
114,6000,10,3 1/2” API REG,ATR-114-6000-10-3.1.2R
114,7620,19,3 1/2 ” API REG,ATR-114-7620-19-3.1.2R
114,8077,19,3 1/2 ” API REG,ATR-114-8077-19-3.1.2R
114,9144,19,3 1/2 ” Beco,ATR-114-9144-19-3.1.2B
114,9144,19,3 1/2 ” API REG,ATR-114-9144-19-3.1.2R
114,10668,19,3 1/2 ” API REG,ATR-114-10668-19-3.1.2R
127,5000,10,3 1/2” API REG,ATR-127-5000-10-3.1.2R
127,6000,10,3 1/2” API REG,ATR-127-6000-10-3.1.2R
127,9144,19,3 1/2 ” API REG,ATR-127-9144-19-3.1.2R
127,5000,10,3 1/2” Beco,ATR-127-5000-10-3.1.2B
127,6000,10,3 1/2” Beco,ATR-127-6000-10-3.1.2B
127,7620,19,3 1/2 ” Beco,ATR-127-7620-19-3.1.2B
127,8077,19,3 1/2 ” Beco,ATR-127-8077-19-3.1.2B
127,9144,19,3 1/2 ” Beco,ATR-127-9144-19-3.1.2B
127,10668,19,3 1/2 ” Beco,ATR-127-10668-19-3.1.2B
140,5000,"12,5",3 1/2 ” Beco,ATR-140-5000-12.5-3.1.2B
140,6000,"12,5",3 1/2 ” Beco,ATR-140-6000-12.5-3.1.2B
140,7620,19,3 1/2 ” Beco,ATR-140-7620-19-3.1.2B
140,8077,19,3 1/2 ” Beco,ATR-140-8077-19-3.1.2B
140,9144,19,3 1/2 ” Beco,ATR-140-9144-19-3.1.2B
140,10668,19,3 1/2 ” Beco,ATR-140-10668-19-3.1.2B
