"Диаметр, мм","Длина, мм",Внутренняя резьба,Наружная резьба,Артикул
89,356,2 3/8 API REG,3 1/2 IF,ATR-AD-2131
89,140,2 3/8 API REG,2 3/8 API REG,ATR-AD-2132
95,130,2 3/8 API REG,2 7/8 API REG,ATR-AD-2133
102,140,2 3/8 API REG,2 7/8 API REG,ATR-AD-2134
102,130,2 3/8 API REG,2 3/8 API REG,ATR-AD-2135
115,120,2 3/8 API REG,3 1/2 API REG,ATR-AD-2136
90,152,2 7/8 API REG,2 3/8 API REG,ATR-AD-2137
102,229,2 7/8 API REG,2 7/8 API REG,ATR-AD-2138
102,356,2 7/8 API REG,3 1/2 IF,ATR-AD-2139
146,483,2 7/8 API REG,4 IF,ATR-AD-2140
152,483,2 7/8 API REG,4 IF,ATR-AD-2141
127,483,2 7/8 IF,4 FH,ATR-AD-2142
127,1067,2 7/8 IF,4 FH,ATR-AD-2143
127,1372,2 7/8 IF,4 FH,ATR-AD-2144
140,241,2 7/8 IF,4 FH,ATR-AD-2145
102,340,3 1/2 API REG,2 1/2 Z,ATR-AD-2146
102,305,3 1/2 API REG,2 7/8 API REG,ATR-AD-2147
102,229,3 1/2 API REG,2 7/8 API REG,ATR-AD-2148
114,219,3 1/2 API REG,2 3/8 API REG,ATR-AD-2149
114,299,3 1/2 API REG,2 3/8 API REG,ATR-AD-2150
114,254,3 1/2 API REG,2 Z,ATR-AD-2151
114,160,3 1/2 API REG,2 7/8 API REG,ATR-AD-2152
114,160,3 1/2 API REG,2 7/8 IF,ATR-AD-2153
114,160,3 1/2 API REG,3 1/2 API REG,ATR-AD-2154
114,160,3 1/2 API REG,API NC 35,ATR-AD-2155
114,229,3 1/2 API REG,3 1/2 API REG,ATR-AD-2156
114,965,3 1/2 API REG,3 1/2 API REG,ATR-AD-2157
127,229,3 1/2 API REG,3 1/2 API REG,ATR-AD-2158
127,607,3 1/2 API REG,3 1/2 API REG,ATR-AD-2159
127,914,3 1/2 API REG,3 1/2 API REG,ATR-AD-2160
127,229,3 1/2 API REG,3 1/2 BECO,ATR-AD-2161
127,483,3 1/2 API REG,4 FH,ATR-AD-2162
127,419,3 1/2 API REG,4 FH,ATR-AD-2163
140,813,3 1/2 API REG,3 1/2 BECO,ATR-AD-2164
146,131,3 1/2 API REG,4 1/2 API REG,ATR-AD-2165
152,483,3 1/2 API REG,4 IF,ATR-AD-2166
140,483,3 1/2 BECO,4 FH,ATR-AD-2167
152,483,3 1/2 BECO,4 IF,ATR-AD-2168
152,483,4 BECO,4 IF,ATR-AD-2169
140,607,4 FH,2 7/8 IF,ATR-AD-2170
114,607,4 1/2 API REG,3 1/2 API REG,ATR-AD-2171
140,229,4 1/2 API REG,3 1/2 API REG,ATR-AD-2172
140,914,4 1/2 API REG,3 1/2 BECO,ATR-AD-2173
140,229,4 1/2 API REG,3 1/2 BECO,ATR-AD-2174
140,607,4 1/2 API REG,3 1/2 BECO,ATR-AD-2175
,,,,
