НАИМЕНОВАНИЕ ИЗДЕЛИЯ,"ГАБАРИТНЫЕ РАЗМЕРЫ (ДИАМЕТР / ДЛИНА /  ТОЛЩИНА СТЕНКИ), ММ",АРТИКУЛ
Буровой станок DML-1200 (Epiroc),,
"Буровая штанга DML L-9,1",178 / 9140 / 20,ATR-DML1200-2135
"Буровая штанга DML L-10,7",178 / 10670 / 20,ATR-DML1200-2136
Переходник долотный (адаптер нижний) DML,178 / 1050,ATR-DML1200-2137
Адаптер нижний DML,178 / 705,ATR-DML1200-2138
Адаптер нижний DML,178 / 960,ATR-DML1200-2139
Муфта шпиндельная (адаптер верхний) DML,152 / 850,ATR-DML1200-2140
Втулка центрирующая DМL,300 / 255 / 182,ATR-DML1200-2141
Буровой станок DML-1600 (Epiroc),,
"Буровая штанга DML L-10,7",178 / 10670 / 20,ATR-DML1600-5231
Переходник долотный (адаптер нижний) DML,178 / 1050,ATR-DML1600-5232
Адаптер нижний DML,178 / 705,ATR-DML1600-5233
Адаптер нижний DML,178 / 960,ATR-DML1600-5234
Муфта шпиндельная (адаптер верхний) DML,152 / 850,ATR-DML1600-5235
Втулка центрирующая DМL,300 / 255 / 182,ATR-DML1600-5236
Буровой станок T4BH (Epiroc),,
"Буровая штанга T4BH L-7,62",159 / 7725 / 20,ATR-T4BH-6431
"Буровая штанга T4BH L-6,295",159 / 6400 / 20,ATR-T4BH-6432
Адаптер верхний T4BH,159 / 599,ATR-T4BH-6433
Переходник долотный T4BH,159 / 917,ATR-T4BH-6434
Втулка центрирующая T4BH,161 / 304 / 190,ATR-T4BH-6435
Буровой станок DM45 (Epiroc),,
"Буровая штанга DM45 Ø140 L-9,1",140 / 9235 / 20,ATR-DM45-1422
"Буровая штанга DM45 Ø159 L-9,1",159 / 9140 / 20,ATR-DM45-1423
Переходник долотный DM-45 Ø140,140 / 800,ATR-DM45-1424
Муфта шпиндельная DМ-45 Ø140,140 / 815,ATR-DM45-1425
Переходник долотный DM-45 Ø159,159 / 1050,ATR-DM45-1426
Муфта шпиндельная DМ-45 Ø159,159 / 845,ATR-DM45-1427
Втулка центрирующая DM-45,161 / 304 / 190,ATR-DM45-1428
Буровой станок PV-271 (Epiroc),,
Буровая штанга PV-271 L7740,203 / 7740 / 20,ATR-PV271-9421
Буровая штанга PV-271 L-5370 (стартовая),203 / 5370 / 20,ATR-PV271-9422
Муфта шпиндельная (адаптер верхний) PV-271,219 / 610,ATR-PV271-9423
Втулка центрирующая PV-271,300 / 290 / 220,ATR-PV271-9424
Буровой станок D50KS (Sandvik),,
Буровая штанга D50KS,178 / 9140 / 20,ATR-D50-1237
Переходник долотный D50KS,178 / 610,ATR-D50-1238
Муфта шпиндельная D50KS,163 / 322,ATR-D50-1239
Буровой станок D245S (Sandvik),,
"Буровая штанга D245S Ø140 L-9,1",140 / 9230 / 20,ATR-D245-9412
Буровой станок 2СБШ-200,,
Буровая штанга 2СБШ-200 черт.200Н.09.06.600,180 / 8165 / 20,ATR-SBH200-3141
Буровой станок 3СБШ-200,,
Буровая штанга 3СБШ-200 черт.08.00.45.100,180 / 11970 / 20,ATR-3SBH200-1241
Штанга концевая 3СБШ-200 черт.08.00.45.200,180 / 2390 / 20,ATR-3SBH200-1242
Штанга концевая 3СБШ-200 черт.08.00.45.200,180 / 3200 / 20,ATR-3SBH200-1243
Буровая штанга 3СБШ-200Н черт.08.00.10.000,180 / 12070 / 20,ATR-3SBH200-1244
Буровой станок 4СБШ-200,,
Буровая штанга 4СБШ-200 черт.09.00.10.000,180 / 8000 / 20,ATR-4SBH200-1233
Буровой станок 5СБШ-200,,
Буровая штанга 5СБШ-200-36 черт.12.00.10.000,180 / 9650 / 20,ATR-5SBH200-6223
"Штанга концевая 5СБШ-200-36 L-2,4  черт.09.00.11.000",180 / 2390 / 20,ATR-5SBH200-6224
