НАИМЕНОВАНИЕ,АРТИКУЛ
"Адаптер вращателя 102 мм, L-300 мм METZKE",ATR-AD-102-300-M45
"Адаптер вращателя 102 мм, L-300 мм REMET",ATR-AD-102-300-R45
Внутренняя трубка адаптера вращателя  102 мм,ATR-ADT-102-300-M45
"Буровая труба RC в сборе L-6000 мм, 102 мм REMET",ATR-DT-102-6-R45
"Буровая труба RC в сборе L-5000 мм, 102 мм REMET",ATR-DT-102-5-R45
"Буровая труба RC в сборе L-4000 мм, 102 мм REMET",ATR-DT-102-4-R45
"Буровая труба RC в сборе L-6000 мм, 102 мм METZKE",ATR-DT-102-6-M45
"Буровая труба RC в сборе L-5000 мм, 102 мм METZKE",ATR-DT-102-5-M45
"Буровая труба RC в сборе L-4000 мм, 102 мм METZKE",ATR-DT-102-4-M45
Внутренняя трубка буровой трубы  L-6000 мм,ATR-ADT-102-6-R45
Внутренняя трубка буровой трубы  L-5000 мм,ATR-ADT-102-5-R45
Внутренняя трубка буровой трубы  L-4000 мм,ATR-ADT-102-4-R45
"Нижний адаптер 107 мм, L - 220 мм М45",ATR-AD-107-220-M45
"Нижний адаптер 107 мм, L - 220 мм R45",ATR-AD-107-220-R45
Внутренняя трубка нижнего адаптера,ATR-ADT-126-220-M45
RC пневмоударник в сборе ATR-4 REMET,ATR-RCH-ATR4-HDR
RC пневмоударник в сборе ATR-4 METZKE,ATR-RCH-ATR4-HDM
Пробоотборная трубка пневмоударника ATR-4,ATR-ATR4-11
Пробоотборная трубка пневмоударника ATR-4,ATR-ATR4-19
Коронка буровая 110 мм DRG,ATR-ATR4-110
Юбка буровой коронки 108 мм,ATR-SV-ATR4-108
Коронка буровая 114 мм DRG,ATR-ATR4-114
Юбка буровой коронки 112 мм,ATR-SV-ATR4-112
Коронка буровая 117 мм DRG,ATR-ATR4-117
Юбка буровой коронки 115 мм,ATR-SV-ATR4-115
Коронка буровая 121 мм DRG,ATR-ATR4-121
Юбка буровой коронки 119 мм,ATR-SV-ATR4-119
Коронка буровая 127 мм DRG,ATR-ATR4-127
Юбка буровой коронки 125 мм,ATR-SV-ATR4-125
Коронка буровая 130 мм DRG,ATR-ATR4-130
Юбка буровой коронки 128 мм,ATR-SV-ATR4-128
