НАИМЕНОВАНИЕ,АРТИКУЛ
RC пневмоударник в сборе ATR-4,ATR-RCH-ATR4-HD
"РМК: Repair kit (7, 10, 13, 15, 21, 25, 28)",ATR-RCH-ATR4-RK
01 - стопорное кольцо,ATR-ATR4-1
02 - кольцо,ATR-ATR4-2
03 - кольцо,ATR-ATR4-3
04 - трубка адаптера,ATR-ATR4-4
05 - кольцо,ATR-ATR4-5
06 - кольцо,ATR-ATR4-6
07 - верхний адаптер,ATR-ATR4-7
08 - кольцо,ATR-ATR4-8
09 - обратный клапан,ATR-ATR4-9
10 - пружина,ATR-ATR4-10
11 - пробоотборная трубка,ATR-ATR4-11
12 - буферное кольцо,ATR-ATR4-12
13 - клапан,ATR-ATR4-13
14 - кольцо,ATR-ATR4-14
15 - внутренний цилиндр,ATR-ATR4-15
16 - кольцо,ATR-ATR4-16
17 - кольцо,ATR-ATR4-17
18 - кольцо,ATR-ATR4-18
19 - пробоотборная трубка,ATR-ATR4-19
20 - поршень,ATR-ATR4-20
21 - внешний корпус,ATR-ATR4-21
22 - напрвляющая втулка,ATR-ATR4-22
23 - стопорное кольцо,ATR-ATR4-23
24 - кольцо,ATR-ATR4-24
25 - нижняя гайка,ATR-ATR4-25
26 - юбка буровой коронки,ATR-SV-ATR4-***
27 - буровая коронка,ATR-ATR4-***
"28 - РМК: Seal kit (2, 3, 5, 6, 8, 12, 14,16, 17, 18, 24)",ATR-RCH-ATR4-SK
