НАИМЕНОВАНИЕ,АРТИКУЛ
"RC пневмоударник в сборе ATR52, 4 1/2",ATR-RCH-RP52-HD
"РМК: Repair kit (6, 8, 11, 13, 15, 21, 24)",ATR-RCH-RP52-RK
01 - стопорное кольцо,ATR-RP52-1
02 - кольцо,ATR-RP52-2
03 - кольцо,ATR-RP52-3
04 - пробоотборная трубка ATR52,ATR-RP52-4
05 - посадочное кольцо трубки,ATR-RP52-5
06 - верхняя гайка,ATR-RP52-6
07 - обратный клапан,ATR-RP52-7
08 - пружина,ATR-RP52-8
09 - кольцо,ATR-RP52-9
10 - кольцо,ATR-RP52-10
11 - седло клапана,ATR-RP52-11
12 - кольцо,ATR-RP52-12
13 - внутренний цилиндр,ATR-RP52-13
14 - поршень,ATR-RP52-14
15 - внешний корпус,ATR-RP52-15
16 - кольцо,ATR-RP52-16
17 - кольцо,ATR-RP52-17
18 - направляющая втулка,ATR-RP52-18
19 - стопорное кольцо,ATR-RP52-19
20 - кольцо,ATR-RP52-20
21 - нижняя шлицевая гайка,ATR-RP52-21
22 - юбка буровой коронки,ATR-SV-RP52-***
23 - буровая коронка RC,ATR-RP52-***
"24 - РМК: Seal kit (2,3, 9, 12, 16, 17, 20)",ATR-RCH-RP52-SK
